# HSR ANF raster plot
0 0 0      1.460
0 0 0     24.020
0 0 0     35.440
0 0 0     48.680
0 0 0     53.400
0 0 0     72.460
0 0 0    130.680
0 1 1     34.240
0 1 1     70.780
0 1 1     74.880
0 1 1     82.860
0 1 1    109.320
0 1 1    125.040
0 1 1    131.860
0 1 1    144.740
0 2 2     34.740
0 2 2     57.340
0 2 2    124.960
0 3 3      5.540
0 3 3     20.240
0 3 3     27.100
0 3 3     33.320
0 3 3     37.260
0 3 3     78.580
0 3 3     91.660
0 3 3     97.460
0 3 3    133.680
0 4 4     18.080
0 4 4     44.940
0 4 4     50.820
0 4 4     57.080
0 4 4     68.640
0 4 4    104.940
0 4 4    115.240
0 4 4    116.860
0 4 4    152.280
0 5 5     10.900
0 5 5     71.740
0 5 5     88.040
0 5 5    127.240
0 6 6     10.060
0 6 6     11.200
0 6 6     17.700
0 6 6     35.900
0 6 6     69.980
0 6 6     85.320
0 6 6    108.780
0 6 6    127.180
0 6 6    150.100
0 7 7      5.500
0 7 7      8.740
0 7 7     20.900
0 7 7     22.800
0 7 7     51.460
0 7 7    112.980
0 8 8     19.200
0 8 8     36.880
0 8 8     57.900
0 8 8    118.840
0 8 8    131.360
0 9 9      8.720
0 9 9     11.860
0 9 9     32.880
0 9 9     60.060
0 9 9     95.920
0 9 9    103.920
0 9 9    117.400
0 9 9    130.200
0 10 10     11.120
0 10 10     19.580
0 10 10     44.040
0 10 10    111.640
0 10 10    146.240
0 11 11     21.700
0 11 11     43.820
0 11 11     58.240
0 11 11     67.800
0 11 11     93.940
0 11 11    106.640
0 11 11    132.660
0 12 12     14.780
0 12 12     18.060
0 12 12     29.700
0 12 12     43.500
0 12 12    121.960
0 12 12    135.100
0 13 13     14.500
0 13 13     45.860
0 13 13     61.560
0 14 14     23.460
0 14 14     45.920
0 14 14     78.300
0 14 14    108.620
0 14 14    113.500
0 14 14    132.560
0 14 14    149.980
0 15 15     18.880
0 15 15     58.680
0 15 15     76.180
0 15 15    100.560
0 15 15    118.140
0 15 15    125.180
0 15 15    140.820
0 16 16     36.900
0 16 16     50.380
0 16 16    113.520
0 16 16    129.280
0 16 16    153.840
0 17 17     15.180
0 17 17     28.220
0 17 17     31.020
0 17 17     51.580
0 17 17     59.160
0 17 17    105.680
0 17 17    113.280
0 17 17    153.900
0 18 18      5.500
0 18 18     20.360
0 18 18     41.180
0 18 18     59.940
0 18 18     81.460
0 18 18     86.800
0 18 18    115.080
0 18 18    156.420
0 19 19     21.900
0 19 19     26.720
0 19 19     31.880
0 19 19     53.180
0 19 19     81.220
0 19 19     97.860
0 19 19    134.240
0 19 19    145.440
1 0 20      5.520
1 0 20     17.500
1 0 20     25.700
1 0 20     30.200
1 0 20     41.100
1 0 20     43.780
1 0 20     47.140
1 0 20     71.000
1 0 20     91.260
1 0 20    113.000
1 0 20    127.340
1 1 21     17.220
1 1 21     37.760
1 1 21     49.060
1 1 21     66.840
1 1 21     75.460
1 1 21    100.280
1 1 21    123.620
1 2 22     31.220
1 2 22     57.500
1 2 22     64.200
1 2 22    100.140
1 2 22    102.740
1 2 22    107.520
1 2 22    122.720
1 3 23     15.500
1 3 23     54.540
1 3 23     58.580
1 3 23     74.980
1 3 23    101.060
1 3 23    111.640
1 3 23    131.380
1 3 23    147.580
1 4 24     23.940
1 4 24     30.820
1 4 24     44.260
1 4 24     48.860
1 4 24     56.620
1 4 24     72.980
1 4 24     77.740
1 4 24    101.840
1 4 24    132.600
1 4 24    150.920
1 5 25     17.540
1 5 25     27.840
1 5 25     45.280
1 5 25     77.940
1 5 25     89.300
1 5 25    105.720
1 5 25    120.160
1 5 25    128.380
1 5 25    144.800
1 5 25    152.240
1 6 26      1.780
1 6 26      9.400
1 6 26     68.160
1 6 26     87.700
1 6 26    119.680
1 6 26    125.800
1 7 27     34.820
1 7 27     49.840
1 7 27     73.840
1 7 27    126.340
1 8 28     23.220
1 8 28     55.580
1 8 28     63.780
1 8 28     70.520
1 8 28     74.880
1 8 28     85.180
1 8 28    108.540
1 8 28    128.800
1 8 28    134.680
1 8 28    157.900
1 8 28    160.160
1 9 29      3.140
1 9 29      5.360
1 9 29     37.520
1 9 29     45.860
1 9 29     91.820
1 9 29    108.960
1 9 29    143.000
1 10 30     18.780
1 10 30     24.840
1 10 30     43.140
1 10 30     49.940
1 10 30     67.040
1 10 30     70.260
1 10 30     88.580
1 10 30     97.740
1 10 30    108.660
1 10 30    119.580
1 10 30    138.860
1 10 30    153.500
1 11 31     14.160
1 11 31     87.060
1 11 31    106.120
1 11 31    144.680
1 12 32     34.820
1 12 32     41.500
1 13 33     15.440
1 13 33     44.240
1 13 33     90.340
1 13 33     97.440
1 13 33    138.120
1 13 33    153.740
1 14 34     32.000
1 14 34     94.680
1 14 34     99.440
1 14 34    133.820
1 14 34    137.460
1 14 34    145.980
1 15 35     19.100
1 15 35     41.280
1 15 35     55.460
1 15 35     73.960
1 15 35     95.640
1 15 35    115.960
1 15 35    145.380
1 15 35    148.040
1 16 36     14.300
1 16 36     69.780
1 16 36     83.340
1 16 36    120.800
1 16 36    125.320
1 16 36    152.800
1 17 37     18.540
1 17 37     31.940
1 17 37     35.700
1 17 37     44.600
1 17 37     81.960
1 17 37     95.520
1 18 38     17.800
1 18 38     50.180
1 18 38     56.240
1 18 38     58.100
1 18 38     65.600
1 18 38    101.060
1 18 38    127.220
1 18 38    144.180
1 18 38    154.820
1 19 39     14.760
1 19 39     36.060
1 19 39     78.100
1 19 39    104.040
1 19 39    152.760
2 0 40     10.400
2 0 40     34.340
2 0 40     59.240
2 0 40     70.960
2 0 40     93.120
2 0 40    140.700
2 0 40    151.220
2 1 41     51.860
2 1 41     57.760
2 1 41     61.660
2 1 41     75.520
2 1 41     86.300
2 1 41     95.540
2 1 41    129.700
2 1 41    135.080
2 1 41    150.000
2 2 42      6.600
2 2 42     74.640
2 2 42     81.820
2 2 42    104.440
2 3 43     27.720
2 3 43     64.800
2 3 43     93.740
2 3 43    110.320
2 3 43    139.840
2 4 44     28.720
2 4 44     51.340
2 4 44     66.280
2 4 44     68.760
2 4 44     71.580
2 4 44     81.140
2 4 44    102.140
2 4 44    137.620
2 4 44    158.740
2 5 45      1.960
2 5 45      5.940
2 5 45     35.840
2 5 45     38.920
2 5 45    115.440
2 5 45    146.640
2 6 46      6.480
2 6 46     37.920
2 6 46     73.960
2 6 46    108.380
2 6 46    132.680
2 7 47      2.380
2 7 47     15.160
2 7 47     20.520
2 7 47     82.260
